date,Value,Geography,Occupation,Year of Arrival,Country of Birth
2011,7180,England and Wales (K04000001),2. Professional occupations,Arrived before 1981,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries
2011,3120,England and Wales (K04000001),2. Professional occupations,Arrived before 1981,Europe: Other Europe: Rest of Europe
2011,3071,England and Wales (K04000001),2. Professional occupations,Arrived before 1981,Africa: Nigeria
2011,4915,England and Wales (K04000001),2. Professional occupations,Arrived before 1981,Africa: South Africa
2011,36333,England and Wales (K04000001),2. Professional occupations,Arrived before 1981,Africa: Other
2011,539,England and Wales (K04000001),2. Professional occupations,Arrived before 1981,Middle East and Asia: China
2011,2368,England and Wales (K04000001),2. Professional occupations,Arrived before 1981,Middle East and Asia: Bangladesh
2011,18111,England and Wales (K04000001),2. Professional occupations,Arrived before 1981,Middle East and Asia: India
2011,7646,England and Wales (K04000001),2. Professional occupations,Arrived before 1981,Middle East and Asia: Pakistan
2011,28057,England and Wales (K04000001),2. Professional occupations,Arrived before 1981,Middle East and Asia: Other
2011,3914,England and Wales (K04000001),2. Professional occupations,Arrived before 1981,The Americas and the Caribbean: Canada
2011,5127,England and Wales (K04000001),2. Professional occupations,Arrived before 1981,The Americas and the Caribbean: United States
2011,6441,England and Wales (K04000001),2. Professional occupations,Arrived before 1981,The Americas and the Caribbean: Jamaica
2011,9771,England and Wales (K04000001),2. Professional occupations,Arrived before 1981,The Americas and the Caribbean: Other
2011,6121,England and Wales (K04000001),2. Professional occupations,Arrived before 1981,"Antarctica, Oceania and other"
2011,0,England and Wales (K04000001),2. Professional occupations,Arrived 1981-1990,Europe: United Kingdom
2011,9318,England and Wales (K04000001),2. Professional occupations,Arrived 1981-1990,Europe: Ireland
2011,2223,England and Wales (K04000001),2. Professional occupations,Arrived 1981-1990,Europe: Other Europe: EU countries: Member countries in March 2001: France
2011,6041,England and Wales (K04000001),2. Professional occupations,Arrived 1981-1990,Europe: Other Europe: EU countries: Member countries in March 2001: Germany
2011,1116,England and Wales (K04000001),2. Professional occupations,Arrived 1981-1990,Europe: Other Europe: EU countries: Member countries in March 2001: Italy
2011,307,England and Wales (K04000001),2. Professional occupations,Arrived 1981-1990,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores)
2011,4902,England and Wales (K04000001),2. Professional occupations,Arrived 1981-1990,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001
2011,994,England and Wales (K04000001),2. Professional occupations,Arrived 1981-1990,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland
2011,1395,England and Wales (K04000001),2. Professional occupations,Arrived 1981-1990,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries
2011,2798,England and Wales (K04000001),2. Professional occupations,Arrived 1981-1990,Europe: Other Europe: Rest of Europe
2011,5765,England and Wales (K04000001),2. Professional occupations,Arrived 1981-1990,Africa: Nigeria
2011,3882,England and Wales (K04000001),2. Professional occupations,Arrived 1981-1990,Africa: South Africa
2011,15532,England and Wales (K04000001),2. Professional occupations,Arrived 1981-1990,Africa: Other
2011,1254,England and Wales (K04000001),2. Professional occupations,Arrived 1981-1990,Middle East and Asia: China
2011,2846,England and Wales (K04000001),2. Professional occupations,Arrived 1981-1990,Middle East and Asia: Bangladesh
2011,5410,England and Wales (K04000001),2. Professional occupations,Arrived 1981-1990,Middle East and Asia: India
2011,3477,England and Wales (K04000001),2. Professional occupations,Arrived 1981-1990,Middle East and Asia: Pakistan
2011,16767,England and Wales (K04000001),2. Professional occupations,Arrived 1981-1990,Middle East and Asia: Other
2011,1765,England and Wales (K04000001),2. Professional occupations,Arrived 1981-1990,The Americas and the Caribbean: Canada
2011,3872,England and Wales (K04000001),2. Professional occupations,Arrived 1981-1990,The Americas and the Caribbean: United States
2011,895,England and Wales (K04000001),2. Professional occupations,Arrived 1981-1990,The Americas and the Caribbean: Jamaica
2011,3418,England and Wales (K04000001),2. Professional occupations,Arrived 1981-1990,The Americas and the Caribbean: Other
2011,4109,England and Wales (K04000001),2. Professional occupations,Arrived 1981-1990,"Antarctica, Oceania and other"
2011,0,England and Wales (K04000001),2. Professional occupations,Arrived 1991-2000,Europe: United Kingdom
2011,7753,England and Wales (K04000001),2. Professional occupations,Arrived 1991-2000,Europe: Ireland
2011,6126,England and Wales (K04000001),2. Professional occupations,Arrived 1991-2000,Europe: Other Europe: EU countries: Member countries in March 2001: France
2011,7130,England and Wales (K04000001),2. Professional occupations,Arrived 1991-2000,Europe: Other Europe: EU countries: Member countries in March 2001: Germany
2011,3511,England and Wales (K04000001),2. Professional occupations,Arrived 1991-2000,Europe: Other Europe: EU countries: Member countries in March 2001: Italy
2011,1025,England and Wales (K04000001),2. Professional occupations,Arrived 1991-2000,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores)
2011,12115,England and Wales (K04000001),2. Professional occupations,Arrived 1991-2000,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001
2011,2070,England and Wales (K04000001),2. Professional occupations,Arrived 1991-2000,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland
2011,5040,England and Wales (K04000001),2. Professional occupations,Arrived 1991-2000,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries
2011,10070,England and Wales (K04000001),2. Professional occupations,Arrived 1991-2000,Europe: Other Europe: Rest of Europe
2011,8696,England and Wales (K04000001),2. Professional occupations,Arrived 1991-2000,Africa: Nigeria
2011,11531,England and Wales (K04000001),2. Professional occupations,Arrived 1991-2000,Africa: South Africa
2011,29953,England and Wales (K04000001),2. Professional occupations,Arrived 1991-2000,Africa: Other
2011,3932,England and Wales (K04000001),2. Professional occupations,Arrived 1991-2000,Middle East and Asia: China
2011,1432,England and Wales (K04000001),2. Professional occupations,Arrived 1991-2000,Middle East and Asia: Bangladesh
2011,14068,England and Wales (K04000001),2. Professional occupations,Arrived 1991-2000,Middle East and Asia: India
2011,4964,England and Wales (K04000001),2. Professional occupations,Arrived 1991-2000,Middle East and Asia: Pakistan
2011,26122,England and Wales (K04000001),2. Professional occupations,Arrived 1991-2000,Middle East and Asia: Other
2011,2322,England and Wales (K04000001),2. Professional occupations,Arrived 1991-2000,The Americas and the Caribbean: Canada
2011,5202,England and Wales (K04000001),2. Professional occupations,Arrived 1991-2000,The Americas and the Caribbean: United States
2011,2057,England and Wales (K04000001),2. Professional occupations,Arrived 1991-2000,The Americas and the Caribbean: Jamaica
2011,5837,England and Wales (K04000001),2. Professional occupations,Arrived 1991-2000,The Americas and the Caribbean: Other
2011,7700,England and Wales (K04000001),2. Professional occupations,Arrived 1991-2000,"Antarctica, Oceania and other"
2011,0,England and Wales (K04000001),2. Professional occupations,Arrived 2001-2011,Europe: United Kingdom
2011,14192,England and Wales (K04000001),2. Professional occupations,Arrived 2001-2011,Europe: Ireland
2011,12364,England and Wales (K04000001),2. Professional occupations,Arrived 2001-2011,Europe: Other Europe: EU countries: Member countries in March 2001: France
2011,12210,England and Wales (K04000001),2. Professional occupations,Arrived 2001-2011,Europe: Other Europe: EU countries: Member countries in March 2001: Germany
2011,9516,England and Wales (K04000001),2. Professional occupations,Arrived 2001-2011,Europe: Other Europe: EU countries: Member countries in March 2001: Italy
2011,3552,England and Wales (K04000001),2. Professional occupations,Arrived 2001-2011,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores)
2011,24052,England and Wales (K04000001),2. Professional occupations,Arrived 2001-2011,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001
2011,22778,England and Wales (K04000001),2. Professional occupations,Arrived 2001-2011,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland
2011,22371,England and Wales (K04000001),2. Professional occupations,Arrived 2001-2011,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries
2011,13679,England and Wales (K04000001),2. Professional occupations,Arrived 2001-2011,Europe: Other Europe: Rest of Europe
2011,12942,England and Wales (K04000001),2. Professional occupations,Arrived 2001-2011,Africa: Nigeria
2011,20401,England and Wales (K04000001),2. Professional occupations,Arrived 2001-2011,Africa: South Africa
2011,33530,England and Wales (K04000001),2. Professional occupations,Arrived 2001-2011,Africa: Other
2011,8942,England and Wales (K04000001),2. Professional occupations,Arrived 2001-2011,Middle East and Asia: China
2011,2380,England and Wales (K04000001),2. Professional occupations,Arrived 2001-2011,Middle East and Asia: Bangladesh
2011,67804,England and Wales (K04000001),2. Professional occupations,Arrived 2001-2011,Middle East and Asia: India
2011,12328,England and Wales (K04000001),2. Professional occupations,Arrived 2001-2011,Middle East and Asia: Pakistan
2011,52452,England and Wales (K04000001),2. Professional occupations,Arrived 2001-2011,Middle East and Asia: Other
2011,6482,England and Wales (K04000001),2. Professional occupations,Arrived 2001-2011,The Americas and the Caribbean: Canada
2011,14899,England and Wales (K04000001),2. Professional occupations,Arrived 2001-2011,The Americas and the Caribbean: United States
2011,2075,England and Wales (K04000001),2. Professional occupations,Arrived 2001-2011,The Americas and the Caribbean: Jamaica
2011,11553,England and Wales (K04000001),2. Professional occupations,Arrived 2001-2011,The Americas and the Caribbean: Other
2011,27059,England and Wales (K04000001),2. Professional occupations,Arrived 2001-2011,"Antarctica, Oceania and other"
2011,2931173,England and Wales (K04000001),3. Associate professional and technical occupations,Born in the UK,Europe: United Kingdom
2011,0,England and Wales (K04000001),3. Associate professional and technical occupations,Born in the UK,Europe: Ireland
2011,0,England and Wales (K04000001),3. Associate professional and technical occupations,Born in the UK,Europe: Other Europe: EU countries: Member countries in March 2001: France
2011,0,England and Wales (K04000001),3. Associate professional and technical occupations,Born in the UK,Europe: Other Europe: EU countries: Member countries in March 2001: Germany
2011,0,England and Wales (K04000001),3. Associate professional and technical occupations,Born in the UK,Europe: Other Europe: EU countries: Member countries in March 2001: Italy
2011,0,England and Wales (K04000001),3. Associate professional and technical occupations,Born in the UK,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores)
2011,0,England and Wales (K04000001),3. Associate professional and technical occupations,Born in the UK,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001
